"legislature","url","name","born","sex","constituency","party","committee","photo","nyears"
1,"http://dati.camera.it/ocd/deputato.rdf/d10000_1","MATTEO RESCIGNO",1895,"M","Benevento","DEMOCRATICO CRISTIANO","VI COMMISSIONE ISTRUZIONE E BELLE ARTI;COMMISSIONE SPECIALE PER L'ESAME DEI DISEGNI DI LEGGE N.31: ""CONVERSIONE COMPLESSIVA DI DECRETI LEGGE"";GIUNTA DELLE ELEZIONI","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10000&legislatura=1",0
1,"http://dati.camera.it/ocd/deputato.rdf/d1000_1","PAOLO BONOMI",1910,"M","Roma","DEMOCRATICO CRISTIANO","IX COMMISSIONE AGRICOLTURA E FORESTE - ALIMENTAZIONE;GIUNTA PER I TRATTATI DI COMMERCIO E LA LEGISLAZIONE DOGANALE","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=1000&legislatura=1",0
2,"http://dati.camera.it/ocd/deputato.rdf/d1000_2","PAOLO BONOMI",1910,"M","Roma","DEMOCRATICO CRISTIANO","IX COMMISSIONE AGRICOLTURA E FORESTE - ALIMENTAZIONE;COMMISSIONE SPECIALE PER L'ESAME DEL DISEGNO DI LEGGE N.72: ""CONVERSIONE IN LEGGE DEL DECRETO LEGGE 21 GIUGNO 1953, N.452, CHE ISTITUISCE L'AMMASSO PER CONTINGENTE DEL FRUMENTO"";COMMISSIONE SPECIALE PER L'ESAME DEL DISEGNO DI LEGGE N.2814, PER LA RATIFICA DEI TRATTATI SUL MERCATO COMUNE E SULL'EURATOM;GIUNTA PER I TRATTATI DI COMMERCIO E LA LEGISLAZIONE DOGANALE;COMMISSIONE PARLAMENTARE CONSULTIVA PER IL PARERE SULLA NUOVA TARIFFA GENERALE DEI DAZI DOGANALI;RAPPRESENTANZA DELLA CAMERA ALL'ASSEMBLEA UNICA DELLE COMUNITÃ EUROPEE","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=1000&legislatura=2",5
3,"http://dati.camera.it/ocd/deputato.rdf/d1000_3","PAOLO BONOMI",1910,"M","Roma","DEMOCRATICO CRISTIANO","XI COMMISSIONE AGRICOLTURA E FORESTE;COMMISSIONE PARLAMENTARE PER IL PARERE SULLA NUOVA TARIFFA GENERALE DEI DAZI DOGANALI","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=1000&legislatura=3",10
4,"http://dati.camera.it/ocd/deputato.rdf/d1000_4","PAOLO BONOMI",1910,"M","Roma","DEMOCRATICO CRISTIANO","XI COMMISSIONE AGRICOLTURA E FORESTE","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=1000&legislatura=4",15
5,"http://dati.camera.it/ocd/deputato.rdf/d1000_5","PAOLO BONOMI",1910,"M","Roma","DEMOCRAZIA CRISTIANA","XI COMMISSIONE AGRICOLTURA E FORESTE","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=1000&legislatura=5",20
6,"http://dati.camera.it/ocd/deputato.rdf/d1000_6","PAOLO BONOMI",1910,"M","Roma","DEMOCRAZIA CRISTIANA","XI COMMISSIONE AGRICOLTURA E FORESTE","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=1000&legislatura=6",24
7,"http://dati.camera.it/ocd/deputato.rdf/d1000_7","PAOLO BONOMI",1910,"M","Roma","DEMOCRAZIA CRISTIANA","XI COMMISSIONE AGRICOLTURA E FORESTE","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=1000&legislatura=7",28
8,"http://dati.camera.it/ocd/deputato.rdf/d1000_8","PAOLO BONOMI",1910,"M","Roma","DEMOCRAZIA CRISTIANA","I COMMISSIONE (AFFARI COSTITUZIONALI - ORGANIZZAZIONE DELLO STATO - REGIONI - DISCIPLINA GENERALE DEL RAPPORTO DEL PUBBLICO IMPIEGO);VIII COMMISSIONE (ISTRUZIONE E BELLE ARTI);XI COMMISSIONE (AGRICOLTURE E FORESTE);XIV COMMISSIONE (IGIENE E SANITÃ PUBBLICA)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=1000&legislatura=8",31
1,"http://dati.camera.it/ocd/deputato.rdf/d10010_1","MARIO RICCI",1908,"M","Parma","COMUNISTA","V COMMISSIONE DIFESA","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10010&legislatura=1",0
2,"http://dati.camera.it/ocd/deputato.rdf/d10010_2","MARIO RICCI",1908,"M","Parma","COMUNISTA","IV COMMISSIONE FINANZE E TESORO","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10010&legislatura=2",5
2,"http://dati.camera.it/ocd/deputato.rdf/d10020_2","ACHILLE RIGAMONTI",1910,"M","Verona","PARTITO SOCIALISTA ITALIANO","VII COMMISSIONE LAVORI PUBBLICI","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10020&legislatura=2",0
1,"http://dati.camera.it/ocd/deputato.rdf/d10030_1","GIUSEPPE RIVA",1894,"M","Udine","DEMOCRATICO CRISTIANO","I COMMISSIONE AFFARI INTERNI - ORDINAMENTO POLITICO E AMMINISTRATIVO - AFFARI DI CULTO - SPETTACOLI - ATTIVITÃ SPORTIVE - STAMPA;VII COMMISSIONE LAVORI PUBBLICI","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10030&legislatura=1",0
2,"http://dati.camera.it/ocd/deputato.rdf/d10030_2","GIUSEPPE RIVA",1894,"M","Udine","DEMOCRATICO CRISTIANO","I COMMISSIONE AFFARI INTERNI - ORDINAMENTO POLITICO ED AMMINISTRATIVO - AFFARI DI CULTO - SPETTACOLI - ATTIVITÃ SPORTIVE - STAMPA","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10030&legislatura=2",5
1,"http://dati.camera.it/ocd/deputato.rdf/d10040_1","ERCOLE ROCCHETTI",1905,"M","L'aquila","DEMOCRATICO CRISTIANO","I COMMISSIONE AFFARI INTERNI - ORDINAMENTO POLITICO E AMMINISTRATIVO - AFFARI DI CULTO - SPETTACOLI - ATTIVITÃ SPORTIVE - STAMPA;III COMMISSIONE DIRITTO - PROCEDURA E ORDINAMENTO GIUDIZIARIO- AFFARI DI GIUSTIZIA - AUTORIZZAZIONE A PROCEDERE;COMMISSIONE SPECIALE PER L'ESAME DEI PROVVEDIMENTI RELATIVI AI DANNI DI GUERRA (NN.1348 E 2379);COMMISSIONE SPECIALE PER L'ESAME DEL DISEGNO DI LEGGE N.1762: ""DELEGAZIONE AL GOVERNO DI EMANARE NORME SULLE ATTIVITÃ PRODUTTIVE E SUI CONSUMI"";COMMISSIONE SPECIALE PER L'ESAME DEI PROVVEDIMENTI RELATIVI ALLA CORTE COSTITUZIONALE (N.469 E 1292);COMMISSIONE PARLAMENTARE D'INCHIESTA SULLA MISERIA IN ITALIA E SUI MEZZI PER COMBATTERLA","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10040&legislatura=1",0
2,"http://dati.camera.it/ocd/deputato.rdf/d10040_2","ERCOLE ROCCHETTI",1905,"M","L'aquila","DEMOCRATICO CRISTIANO","III COMMISSIONE DIRITTO - PROCEDURA E ORDINAMENTO GIUDIZIARIO - AFFARI DI GIUSTIZIA;COMMISSIONE SPECIALE PER L'ESAME DEL DISEGNO DI LEGGE COSTITUZIONALE N.1942: ""FACOLTÃ DI ISTITUIRE, CON LEGGE ORDINARIA, GIUDICI SPECIALI IN MATERIA TRIBUTARIA"" E DEL DISEGNO DI LEGGE N.1944: ""RIFORMA DEL CONTENZIOSO TRIBUTARIO"";COMMISSIONE SPECIALE PER L'ESAME DELLE PROPOSTE DI LEGGE COSTITUZIONALI ALDISIO E LI CAUSI NN.2406 E 2810 CONCERNENTI L'ALTA CORTE PER LA REGIONE SICILIANA E LA CORTE COSTITUZIONALE;GIUNTA DELLE ELEZIONI;COMMISSIONE PARLAMENTARE CONSULTIVA PER L'EMANAZIONE DELLE NORME RELATIVE ALLE CIRCOSCRIZIONI TERRITORIALI E ALLE PIANTE DEGLI UFFICI GIUDIZIARI;UFFICIO DI PRESIDENZA","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10040&legislatura=2",5
3,"http://dati.camera.it/ocd/deputato.rdf/d10040_3","ERCOLE ROCCHETTI",1905,"M","L'aquila","DEMOCRATICO CRISTIANO","I COMMISSIONE AFFARI COSTITUZIONALI - ORGANIZZAZIONE DELLO STATO - REGIONI - DISCIPLINA GENERALE DEL RAPPORTO DI PUBBLICO IMPIEGO;IV COMMISSIONE GIUSTIZIA;GIUNTA DELLE ELEZIONI;COMMISSIONE D'INDAGINE CHIESTA DAL DEPUTATO SULLO IN MERITO AD ACCUSE MOSSEGLI DAL DEPUTATO COVELLI;COMMISSIONE CONSULTIVA PER IL PARERE AL GOVERNO SULLE NORME RELATIVE ALLE CIRCOSCRIZIONI TERRITORIALI E ALLE PIANTE ORGANICHE DEGLI UFFICI GIUDIZIARI","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10040&legislatura=3",10
2,"http://dati.camera.it/ocd/deputato.rdf/d10070_2","GIUSEPPE ROMANATO",1916,"M","Verona","DEMOCRATICO CRISTIANO","VI COMMISSIONE ISTRUZIONE E BELLE ARTI;COMMISSIONE SPECIALE PER L'ESAME DEL DISEGNO DI LEGGE N.1946: ""MODIFICAZIONI ED AGGIUNTE ALLE DISPOSIZIONI SULLA CINEMATOGRAFIA""","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10070&legislatura=2",0
3,"http://dati.camera.it/ocd/deputato.rdf/d10070_3","GIUSEPPE ROMANATO",1916,"M","Verona","DEMOCRATICO CRISTIANO","VIII COMMISSIONE ISTRUZIONE E BELLE ARTI;COMMISSIONE SPECIALE PER L'ESAME DEL DISEGNO DI LEGGE N. 11: ""CONVERSIONE IN LEGGE DEL DECRETO-LEGGE 11 GIUGNO 1958, N. 573, CONCERNENTE LA PROROGA DEL TERMINE STABILITO DALL'ART.23 DELLA LEGGE 31 LUGLIO 1956, N. 897, CONTENENTE DISPOSIZIONI SULLA CINEMATOGRAFIA E SUCCESSIVE MODIFICAZIONI"";COMMISSIONE SPECIALE PER L'ESAME DEL DISEGNO DI LEGGE N.1409: ""INTERVENTI IN FAVORE DELL'ECONOMIA NAZIONALE""","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10070&legislatura=3",5
4,"http://dati.camera.it/ocd/deputato.rdf/d10070_4","GIUSEPPE ROMANATO",1916,"M","Verona","DEMOCRATICO CRISTIANO","COMMISSIONE SPECIALE PER L'ESAME DEL DISEGNO DI LEGGE N. 2186 ""CONVERSIONE IN LEGGE DEL DECRETO - LEGGE 15 MARZO 1965, N. 124, RECANTE INTERVENTI PER LA RIPRESA ECONOMICA NAZIONALE"";VIII COMMISSIONE ISTRUZIONE E BELLE ARTI","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10070&legislatura=4",10
5,"http://dati.camera.it/ocd/deputato.rdf/d10070_5","GIUSEPPE ROMANATO",1916,"M","Verona","DEMOCRAZIA CRISTIANA","VIII COMMISSIONE ISTRUZIONE E BELLE ARTI;COMITATO DI VIGILANZA SULLA BIBLIOTECA","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10070&legislatura=5",15
2,"http://dati.camera.it/ocd/deputato.rdf/d10080_2","BARTOLOMEO ROMANO",1899,"M","Palermo","DEMOCRATICO CRISTIANO","IV COMMISSIONE FINANZE E TESORO;V COMMISSIONE DIFESA;COMMISSIONE SPECIALE PER L'ESAME DEL DISEGNO DI LEGGE N.1: ""AUTORIZZAZIONE ALL'ESERCIZIO PROVVISORIO DEL BILANCIO PER L'ANNO FINANZIARIO 1953-1954""","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10080&legislatura=2",0
3,"http://dati.camera.it/ocd/deputato.rdf/d10080_3","BARTOLOMEO ROMANO",1899,"M","Palermo","DEMOCRATICO CRISTIANO","X COMMISSIONE TRASPORTI  - POSTE E TELECOMUNICAZIONI - MARINA MERCANTILE;XIII COMMISSIONE LAVORO - ASSISTENZA E PREVIDENZA SOCIALE - COOPERAZIONE;COMMISSIONE SPECIALE PER L'ESAME DEI DISEGNI DI LEGGE NN.60, 61 E 62, RELATIVI AI BILANCI DEI TRE MINISTERI FINANZIARI PER L'ESERCIZIO FINANZIARIO 1958-59;COMMISSIONE SPECIALE PER L'ESAME DEI DISEGNI DI LEGGE N. 1: ""AUTORIZZAZIONE ALL'ESERCIZIO PROVVISORIO DEL BILANCIO PER L'ANNO FINANZIARIO 1958 - 1959"" E N. 12: ""PROVVIDENZE PER LA RIPARAZIONE DI DANNI PROVOCATI DA AVVERSE CONDIZIONI ATMOSFERICHE, NONCHÃ VARIAZIONI DELLO STATO DI PREVISIONE DELL'ENTRATA PER L'ESERCIZIO FINANZIARIO 1957 - 1958""","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10080&legislatura=3",5
1,"http://dati.camera.it/ocd/deputato.rdf/d10090_1","MARIA MADDALENA ROSSI",1906,"F","Verona","COMUNISTA","II COMMISSIONE RAPPORTI CON L'ESTERO, COMPRESI GLI ECONOMICI - COLONIE","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10090&legislatura=1",0
2,"http://dati.camera.it/ocd/deputato.rdf/d10090_2","MARIA MADDALENA ROSSI",1906,"F","Siena","COMUNISTA","II COMMISSIONE RAPPORTI CON L'ESTERO, COMPRESI GLI ECONOMICI - COLONIE;COMMISSIONE SPECIALE PER L'ESAME DEL DISEGNO DI LEGGE N.2814, PER LA RATIFICA DEI TRATTATI SUL MERCATO COMUNE E SULL'EURATOM;GIUNTA PER I TRATTATI DI COMMERCIO E LA LEGISLAZIONE DOGANALE","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10090&legislatura=2",5
3,"http://dati.camera.it/ocd/deputato.rdf/d10090_3","MARIA MADDALENA ROSSI",1906,"F","Siena","COMUNISTA","III COMMISSIONE AFFARI ESTERI - EMIGRAZIONE","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10090&legislatura=3",10
11,"http://dati.camera.it/ocd/deputato.rdf/d100_11","GIANFRANCO ALIVERTI",1930,"M","Como","DEMOCRATICO CRISTIANO - PARTITO POPOLARE ITALIANO","V COMMISSIONE (BILANCIO, TESORO E PROGRAMMAZIONE);X COMMISSIONE (ATTIVITÃ PRODUTTIVE, COMMERCIO E TURISMO)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=100&legislatura=11",12
6,"http://dati.camera.it/ocd/deputato.rdf/d100_6","GIANFRANCO ALIVERTI",1930,"M","Como","DEMOCRAZIA CRISTIANA","COMMISSIONE PARLAMENTARE PER IL PARERE AL GOVERNO SUI DECRETI DELEGATI CONCERNENTI IL REGIME FISCALE DEI PRODOTTI PETROLIFERI E L'IMPOSIZIONE DI PRELIEVO TRIBUTARIO UNA TANTUM SUI VEICOLI A MOTORE;XII COMMISSIONE INDUSTRIA E COMMERCIO, ARTIGIANATO, COMMERCIO ESTERO;COMMISSIONE SPECIALE PER L'ESAME DEI PROVVEDIMENTI CONCERNENTI LA DISCIPLINA DEI CONTRATTI DI LOCAZIONE DEGLI IMMOBILI URBANI","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=100&legislatura=6",0
7,"http://dati.camera.it/ocd/deputato.rdf/d100_7","GIANFRANCO ALIVERTI",1930,"M","Como","DEMOCRAZIA CRISTIANA","COMMISSIONE SPECIALE INCARICATA, IN SEDE REFERENTE, DELL'ESAME DEI PROGETTI DI LEGGE CONCERNENTI DISPOSIZIONI IN MATERIA DI LOCAZIONI DI IMMOBILI URBANI;COMMISSIONE PARLAMENTARE PER LA LOCALIZZAZIONE DEGLI IMPIANTI PER LA PRODUZIONE DI ENERGIA ELETTRICA;COMMISSIONE PARLAMENTARE PER IL PARERE AL GOVERNO DA EMANARE IN ESECUZIONE DEGLI ACCORDI FRA L'ITALIA E LA JUGOSLAVIA, FIRMATI A OSIMO IL 10 NOVEMBRE 1975;COMMISSIONE PARLAMENTARE DI VIGILANZA SUL CNEN;COMITATO PARITETICO BICAMERALE PER L'INDAGINE CONOSCITIVA SULL'ASSICURAZIONE OBBLIGATORIA DEGLI AUTOVEICOLI;XII COMMISSIONE INDUSTRIA E COMMERCIO, ARTIGIANATO, COMMERCIO ESTERO","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=100&legislatura=7",4
8,"http://dati.camera.it/ocd/deputato.rdf/d100_8","GIANFRANCO ALIVERTI",1930,"M","Como","DEMOCRAZIA CRISTIANA","XII COMMISSIONE (INDUSTRIA E COMMERCIO - ARTIGIANATO - COMMERCIO ESTERO);COMMISSIONE PARLAMENTARE D'INCHIESTA SUL CASO SINDONA E SULLE RESPONSABILITÃ POLITICHE ED AMMINISTRATIVE AD ESSO EVENTUALMENTE CONNESSE;COMMISSIONE PARLAMENTARE PER LA RISTRUTTURAZIONE E RICONVERSIONE INDUSTRIALE E PER I PROGRAMMI DELLE PARTECIPAZIONI STATALI","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=100&legislatura=8",7
1,"http://dati.camera.it/ocd/deputato.rdf/d10100_1","PAOLO ROSSI",1900,"M","Genova","PARTITO SOCIALISTA DEMOCRATICO ITALIANO","I COMMISSIONE AFFARI INTERNI - ORDINAMENTO POLITICO E AMMINISTRATIVO - AFFARI DI CULTO - SPETTACOLI - ATTIVITÃ SPORTIVE - STAMPA;COMMISSIONE DI VIGILANZA SULLA BIBLIOTECA;COMMISSIONE D'INDAGINE PER GIUDICARE SUL FONDAMENTO DELL'ACCUSA RIVOLTA DAL DEPUTATO GRILLI AL DEPUTATO FERRARIO CELESTINO;COMMISSIONE D'INDAGINE PER ESAMINARE IL FONDAMENTO DELLE ACCUSE MOSSE AL DEPUTATO TESAURO IN SENO ALLA COMMISSIONE INTERNI;COMMISSIONE D'INDAGINE PER ACCERTARE LA FONDATEZZA DELL'ACCUSA DI DIFFAMAZIONE CONTRO IL DEPUTATO VIOLA E DELLE ACCUSE MOSSE DAL DEPUTATO VIOLA CONTRO IL DEPUTATO GIAMMARCO;COMMISSIONE PARLAMENTARE CONSULTIVA PER LE NORME DI ATTUAZIONE DELLA LEGGE SULL'ORDINAMENTO DELL'I.N.A.D.E.L","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10100&legislatura=1",0
2,"http://dati.camera.it/ocd/deputato.rdf/d10100_2","PAOLO ROSSI",1900,"M","Collegio_unico","PARTITO SOCIALISTA DEMOCRATICO ITALIANO","III COMMISSIONE DIRITTO - PROCEDURA E ORDINAMENTO GIUDIZIARIO - AFFARI DI GIUSTIZIA;COMMISSIONE DI VIGILANZA SULLA BIBLIOTECA;GIUNTA PER L'ESAME DELLE DOMANDE DI AUTORIZZAZIONE A PROCEDERE IN GIUDIZIO;GIUNTA DEL REGOLAMENTO;GIUNTA DELLE ELEZIONI;COMMISSIONE PARLAMENTARE PER LA VIGILANZA SULLE RADIODIFFUSIONI","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10100&legislatura=2",5
3,"http://dati.camera.it/ocd/deputato.rdf/d10100_3","PAOLO ROSSI",1900,"M","Genova","PARTITO SOCIALISTA DEMOCRATICO ITALIANO","I COMMISSIONE AFFARI COSTITUZIONALI - ORGANIZZAZIONE DELLO STATO - REGIONI - DISCIPLINA GENERALE DEL RAPPORTO DI PUBBLICO IMPIEGO;UFFICIO DI PRESIDENZA;COMMISSIONE PARLAMENTARE D'INCHIESTA SUL FENOMENO DELLA MAFIA IN SICILIA","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10100&legislatura=3",10
4,"http://dati.camera.it/ocd/deputato.rdf/d10100_4","PAOLO ROSSI",1900,"M","Genova","PARTITO SOCIALISTA DEMOCRATICO ITALIANO","UFFICIO DI PRESIDENZA;GIUNTA DEL REGOLAMENTO;I COMMISSIONE AFFARI COSTITUZIONALI - ORGANIZZAZIONE DELLO STATO - REGIONI - DISCIPLINA GENERALE DEL RAPPORTO DI PUBBLICO IMPIEGO","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10100&legislatura=4",15
4,"http://dati.camera.it/ocd/deputato.rdf/d1010_4","LUIGI BORGHI",1924,"M","Como","DEMOCRATICO CRISTIANO","VIII COMMISSIONE ISTRUZIONE E BELLE ARTI","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=1010&legislatura=4",0
5,"http://dati.camera.it/ocd/deputato.rdf/d1010_5","LUIGI BORGHI",1924,"M","Como","DEMOCRAZIA CRISTIANA","VIII COMMISSIONE ISTRUZIONE E BELLE ARTI;XIII COMMISSIONE LAVORO, ASSISTENZA E PREVIDENZA SOCIALE, COOPERAZIONE;COMMISSIONE PARLAMENTARE PER IL PARERE AL GOVERNO SULLE NORME DELEGATE RELATIVE AL RIORDINAMENTO DELL'AMMINISTRAZIONE DELLO STATO, AL DECENTRAMENTO DELLE FUNZIONI E AL RIASSETTO DELLE CARRIERE E DELLE RETRIBUZIONI DEI DIPENDENTI STATALI","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=1010&legislatura=5",5
6,"http://dati.camera.it/ocd/deputato.rdf/d1010_6","LUIGI BORGHI",1924,"M","Como","DEMOCRAZIA CRISTIANA","COMMISSIONE PARLAMENTARE PER IL PARERE AL GOVERNO SULLE NORME DELEGATE IN MATERIA DI DAZI DOGANALI;VI COMMISSIONE FINANZE E TESORO;VIII COMMISSIONE ISTRUZIONE E BELLE ARTI","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=1010&legislatura=6",9
3,"http://dati.camera.it/ocd/deputato.rdf/d10110_3","PAOLO MARIO ROSSI",1921,"M","Pisa","COMUNISTA","VI COMMISSIONE FINANZE E TESORO;VII COMMISSIONE DIFESA;COMMISSIONE PARLAMENTARE D'INCHIESTA SULLA COSTRUZIONE DELL'AEROPORTO DI FIUMICINO","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10110&legislatura=3",0
4,"http://dati.camera.it/ocd/deputato.rdf/d10110_4","PAOLO MARIO ROSSI",1921,"M","Pisa","COMUNISTA","VI COMMISSIONE FINANZE E TESORO;XII COMMISSIONE INDUSTRIA E COMMERCIO - ARTIGIANATO - COMMERCIO ESTERO","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10110&legislatura=4",5
2,"http://dati.camera.it/ocd/deputato.rdf/d10120_2","ANGELO RUBINO",1908,"M","Benevento","MISTO","I COMMISSIONE AFFARI INTERNI - ORDINAMENTO POLITICO ED AMMINISTRATIVO - AFFARI DI CULTO - SPETTACOLI - ATTIVITÃ SPORTIVE - STAMPA;VII COMMISSIONE LAVORI PUBBLICI","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10120&legislatura=2",0
3,"http://dati.camera.it/ocd/deputato.rdf/d10140_3","SALVATORE RUSSO",1899,"M","Catania","COMUNISTA","VIII COMMISSIONE ISTRUZIONE E BELLE ARTI","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10140&legislatura=3",0
4,"http://dati.camera.it/ocd/deputato.rdf/d10150_4","VINCENZO MARIO RUSSO",1901,"M","Napoli","PARTITO SOCIALISTA DEMOCRATICO ITALIANO","COMMISSIONE SPECIALE PER L'ESAME DEL DISEGNO DI LEGGE N. 2017 ""DISCIPLINA DEGLI INTERVENTI PER LO SVILUPPO DEL MEZZOGIORNO"";COMMISSIONE PARLAMENTARE PER IL PARERE AL GOVERNO SULLE NORME DELEGATE RELATIVE ALLE CIRCOSCRIZIONI GIUDIZIARIE;IX COMMISSIONE LAVORI PUBBLICI;XII COMMISSIONE INDUSTRIA E COMMERCIO - ARTIGIANATO - COMMERCIO ESTERO","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10150&legislatura=4",0
1,"http://dati.camera.it/ocd/deputato.rdf/d10160_1","ARMANDO SABATINI",1908,"M","Cuneo","DEMOCRATICO CRISTIANO","X COMMISSIONE INDUSTRIA E COMMERCIO - TURISMO;XI COMMISSIONE LAVORO - EMIGRAZIONE - COOPERAZIONE - PREVIDENZA E ASSISTENZA SOCIALE - ASSISTENZA POST BELLICA - IGIENE E SANITÃ PUBBLICA;COMMISSIONE SPECIALE PER L'ESAME DEL DISEGNO DI LEGGE N.20: ""RATIFICA DEGLI ACCORDI INTERNAZIONALI FIRMATI A PARIGI IL 16 APRILE 1948"";COMMISSIONE SPECIALE PER L'ESAME DEL DISEGNO DI LEGGE N.36: ""RATIFICA DELL'ACCORDO DI COOPERAZIONE ECONOMICA TRA L'ITALIA E GLI STATI UNITI, CONCLUSO A ROMA IL 28 GIUGNO 1948;COMMISSIONE SPECIALE PER L'ESAME DEL DISEGNO DI LEGGE N.1762: ""DELEGAZIONE AL GOVERNO DI EMANARE NORME SULLE ATTIVITÃ PRODUTTIVE E SUI CONSUMI"";COMMISSIONE SPECIALE PER L'ESAME DEL DISEGNO DI LEGGE N.2511: ""PROVVEDIMENTI PER LO SVILUPPO DELL'ECONOMIA E L'INCREMENTO DELL'OCCUPAZIONE"";COMMISSIONE PARLAMENTARE D'INCHIESTA SULLA DISOCCUPAZIONE;GIUNTA PER I TRATTATI DI COMMERCIO E LA LEGISLAZIONE DOGANALE","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10160&legislatura=1",0
2,"http://dati.camera.it/ocd/deputato.rdf/d10160_2","ARMANDO SABATINI",1908,"M","Cuneo","DEMOCRATICO CRISTIANO","RAPPRESENTANZA DELLA CAMERA ALL'ASSEMBLEA DELLA COMUNITÃ EUROPEA DEL CARBONE E DELL'ACCIAIO;IV COMMISSIONE FINANZE E TESORO;X COMMISSIONE INDUSTRIA E COMMERCIO;XI COMMISSIONE LAVORO - EMIGRAZIONE - COOPERAZIONE - PREVIDENZA E ASSISTENZA SOCIALE - ASSISTENZA POST-BELLICA - IGIENE E SANITÃ PUBBLICA;COMMISSIONE SPECIALE PER L'ESAME DEL DISEGNO DI LEGGE N.1738: ""PROVVEDIMENTI STRAORDINARI PER LA CALABRIA"" E DELLE SIMILIARI PROPOSTE DI LEGGE NN.1147 E 2837;COMMISSIONE PARLAMENTARE CONSULTIVA PER IL PARERE SULLA NUOVA TARIFFA GENERALE DEI DAZI DOGANALI;RAPPRESENTANZA DELLA CAMERA ALL'ASSEMBLEA UNICA DELLE COMUNITÃ EUROPEE","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10160&legislatura=2",5
3,"http://dati.camera.it/ocd/deputato.rdf/d10160_3","ARMANDO SABATINI",1908,"M","Cuneo","DEMOCRATICO CRISTIANO","XIII COMMISSIONE LAVORO - ASSISTENZA E PREVIDENZA SOCIALE - COOPERAZIONE;COMMISSIONE SPECIALE PER L'ESAME DEI DISEGNI DI LEGGE NN.60, 61 E 62, RELATIVI AI BILANCI DEI TRE MINISTERI FINANZIARI PER L'ESERCIZIO FINANZIARIO 1958-59;COMMISSIONE SPECIALE PER L'ESAME DELLE PROPOSTE DI LEGGE NN.82 E 945 E DELLA PROPOSTA DI INCHIESTA PARLAMENTARE N. 1797, CONCERNENTI LE ABITAZIONI DELLA GENTE RURALE;RAPPRESENTANZA DELLA CAMERA NELL'ASSEMBLEA PARLAMENTARE EUROPEA;COMMISSIONE PARLAMENTARE PER IL PARERE AL GOVERNO SULLE NORME DELEGATE RELATIVE ALLA CONCESSIONE IN PROPRIETÃ DEGLI ALLOGGI COSTRUITI DALLO STATO OVVERO CON IL SUO CONCORSO O CONTRIBUTO","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10160&legislatura=3",10
