"legislature","url","name","born","sex","constituency","party","committee","photo","nyears"
9,"http://dati.camera.it/ocd/deputato.rdf/d23170_9","ALFREDO COMIS",1950,"M","Udine","DEMOCRAZIA CRISTIANA","IX COMMISSIONE (LAVORI PUBBLICI)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23170&legislatura=9",0
9,"http://dati.camera.it/ocd/deputato.rdf/d23180_9","PAOLO CORREALE",1924,"M","Benevento","PARTITO SOCIALISTA DEMOCRATICO ITALIANO","XI COMMISSIONE (AGRICOLTURA E FORESTE);GIUNTA PER LE AUTORIZZAZIONI A PROCEDERE IN GIUDIZIO","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23180&legislatura=9",0
10,"http://dati.camera.it/ocd/deputato.rdf/d23190_10","HUBERT CORSI",1938,"M","Siena","DEMOCRATICO CRISTIANO","X COMMISSIONE (ATTIVITÃ PRODUTTIVE, COMMERCIO E TURISMO);COMMISSIONE SPECIALE PER LE POLITICHE COMUNITARIE;COMMISSIONE PARLAMENTARE D'INCHIESTA SULLA CONDIZIONE GIOVANILE","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23190&legislatura=10",4
11,"http://dati.camera.it/ocd/deputato.rdf/d23190_11","HUBERT CORSI",1938,"M","Siena","DEMOCRATICO CRISTIANO - PARTITO POPOLARE ITALIANO","VIII COMMISSIONE (AMBIENTE, TERRITORIO E LAVORI PUBBLICI);X COMMISSIONE (ATTIVITÃ PRODUTTIVE, COMMERCIO E TURISMO)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23190&legislatura=11",9
9,"http://dati.camera.it/ocd/deputato.rdf/d23190_9","HUBERT CORSI",1938,"M","Siena","DEMOCRAZIA CRISTIANA","VI COMMISSIONE (FINANZE E TESORO);XII COMMISSIONE (INDUSTRIA E COMMERCIO - ARTIGIANATO - COMMERCIO ESTERO);XIV COMMISSIONE (IGIENE  E SANITÃ PUBBLICA);COMMISSIONE SPECIALE PER L'ESAME DEI PROGETTI DI LEGGE SULLA RIFORMA DEL SISTEMA PENSIONISTICO","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23190&legislatura=9",0
10,"http://dati.camera.it/ocd/deputato.rdf/d23200_10","GIUSEPPE CRIPPA",1946,"M","Brescia","GRUPPO COMUNISTA - PDS","III COMMISSIONE (AFFARI ESTERI E COMUNITARI)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23200&legislatura=10",4
9,"http://dati.camera.it/ocd/deputato.rdf/d23200_9","GIUSEPPE CRIPPA",1946,"M","Brescia","PARTITO COMUNISTA ITALIANO","III COMMISSIONE (AFFARI ESTERI - EMIGRAZIONE)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23200&legislatura=9",0
4,"http://dati.camera.it/ocd/deputato.rdf/d2320_4","FERDINANDO DI NARDO",1918,"M","Napoli","MOVIMENTO SOCIALE ITALIANO","IV COMMISSIONE GIUSTIZIA","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=2320&legislatura=4",0
5,"http://dati.camera.it/ocd/deputato.rdf/d2320_5","FERDINANDO DI NARDO",1918,"M","Napoli","MOVIMENTO SOCIALE ITALIANO","IV COMMISSIONE GIUSTIZIA;COMMISSIONE SPECIALE PER L'ESAME DELLE PROPOSTE DI LEGGE CONCERNENTI LA DISCIPLINA DEGLI IMMOBILI URBANI","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=2320&legislatura=5",5
6,"http://dati.camera.it/ocd/deputato.rdf/d2320_6","FERDINANDO DI NARDO",1918,"M","Napoli","MOVIMENTO SOCIALE ITALIANO - DESTRA NAZIONALE","IV COMMISSIONE GIUSTIZIA","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=2320&legislatura=6",9
7,"http://dati.camera.it/ocd/deputato.rdf/d2320_7","FERDINANDO DI NARDO",1918,"M","Napoli","COSTITUENTE DI DESTRA - DEMOCRAZIA NAZIONALE","IV COMMISSIONE GIUSTIZIA","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=2320&legislatura=7",13
10,"http://dati.camera.it/ocd/deputato.rdf/d23210_10","FRANCESCO CURCI",1934,"M","Benevento","PARTITO SOCIALISTA ITALIANO","II COMMISSIONE (GIUSTIZIA);XII COMMISSIONE (AFFARI SOCIALI)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23210&legislatura=10",4
11,"http://dati.camera.it/ocd/deputato.rdf/d23210_11","FRANCESCO CURCI",1934,"M","Benevento","PARTITO SOCIALISTA ITALIANO","XII COMMISSIONE (AFFARI SOCIALI)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23210&legislatura=11",9
9,"http://dati.camera.it/ocd/deputato.rdf/d23210_9","FRANCESCO CURCI",1934,"M","Benevento","PARTITO SOCIALISTA ITALIANO","XIV COMMISSIONE (IGIENE  E SANITÃ PUBBLICA)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23210&legislatura=9",0
10,"http://dati.camera.it/ocd/deputato.rdf/d23220_10","FLORINDO D'AIMMO",1928,"M","Campobasso","DEMOCRATICO CRISTIANO","V COMMISSIONE (BILANCIO, TESORO E PROGRAMMAZIONE);COMMISSIONE PARLAMENTARE PER IL CONTROLLO SUGLI INTERVENTI NEL MEZZOGIORNO","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23220&legislatura=10",4
11,"http://dati.camera.it/ocd/deputato.rdf/d23220_11","FLORINDO D'AIMMO",1928,"M","Campobasso","DEMOCRATICO CRISTIANO - PARTITO POPOLARE ITALIANO","V COMMISSIONE (BILANCIO, TESORO E PROGRAMMAZIONE);XI COMMISSIONE (LAVORO PUBBLICO E PRIVATO)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23220&legislatura=11",9
